device: cuda
tokenizer: tiktoken
vocab_size: 50257
dataset_tokens: 338025
model_parameters: 52.93M
tokens_per_step: 16384
step 0: train loss 10.8549, val loss 10.8521
step 81: loss 5.6559, step_time 114.64 ms, throughput 142923.08 tokens/s
step 82: loss 5.6406, step_time 114.45 ms, throughput 143155.93 tokens/s
step 83: loss 5.5414, step_time 114.55 ms, throughput 143024.97 tokens/s
step 84: loss 5.6628, step_time 114.69 ms, throughput 142859.81 tokens/s
step 85: loss 5.5519, step_time 115.00 ms, throughput 142465.18 tokens/s
step 86: loss 5.5787, step_time 113.33 ms, throughput 144569.57 tokens/s
step 87: loss 5.4794, step_time 114.28 ms, throughput 143373.34 tokens/s
step 88: loss 5.5652, step_time 114.71 ms, throughput 142835.83 tokens/s
step 89: loss 5.4937, step_time 114.08 ms, throughput 143613.33 tokens/s
step 90: loss 5.6020, step_time 114.49 ms, throughput 143100.59 tokens/s
step 91: loss 5.4825, step_time 114.78 ms, throughput 142744.41 tokens/s
step 92: loss 5.4233, step_time 114.99 ms, throughput 142479.83 tokens/s
step 93: loss 5.4478, step_time 114.72 ms, throughput 142815.30 tokens/s
step 94: loss 5.4474, step_time 114.49 ms, throughput 143103.53 tokens/s
step 95: loss 5.4768, step_time 114.76 ms, throughput 142765.45 tokens/s
step 96: loss 5.4645, step_time 115.04 ms, throughput 142419.08 tokens/s
step 97: loss 5.4609, step_time 113.41 ms, throughput 144470.77 tokens/s
step 98: loss 5.4307, step_time 114.23 ms, throughput 143433.15 tokens/s
step 99: loss 5.3030, step_time 114.69 ms, throughput 142849.39 tokens/s
step 100: loss 5.4316, step_time 114.14 ms, throughput 143537.96 tokens/s
step 101: loss 5.3426, step_time 114.41 ms, throughput 143209.54 tokens/s
step 102: loss 5.3075, step_time 114.67 ms, throughput 142877.93 tokens/s
step 103: loss 5.3845, step_time 113.52 ms, throughput 144330.02 tokens/s
step 104: loss 5.2652, step_time 114.65 ms, throughput 142909.58 tokens/s
step 105: loss 5.2661, step_time 114.60 ms, throughput 142968.92 tokens/s
step 106: loss 5.2708, step_time 114.85 ms, throughput 142660.09 tokens/s
step 107: loss 5.3232, step_time 114.53 ms, throughput 143057.71 tokens/s
step 108: loss 5.1949, step_time 113.67 ms, throughput 144138.02 tokens/s
step 109: loss 5.2848, step_time 114.80 ms, throughput 142715.94 tokens/s
step 110: loss 5.3016, step_time 114.91 ms, throughput 142583.54 tokens/s
step 111: loss 5.2457, step_time 114.20 ms, throughput 143473.24 tokens/s
step 112: loss 5.2320, step_time 114.48 ms, throughput 143118.78 tokens/s
step 113: loss 5.1570, step_time 114.72 ms, throughput 142815.75 tokens/s
