device: cuda
tokenizer: tiktoken
vocab_size: 50257
dataset_tokens: 338025
model_parameters: 52.93M
tokens_per_step: 16384
step 0: train loss 10.8548, val loss 10.8516
step 81: loss 5.7029, step_time 119.54 ms, throughput 137058.36 tokens/s
step 82: loss 5.6809, step_time 118.78 ms, throughput 137937.76 tokens/s
step 83: loss 5.5822, step_time 119.00 ms, throughput 137684.13 tokens/s
step 84: loss 5.7102, step_time 119.73 ms, throughput 136839.29 tokens/s
step 85: loss 5.5999, step_time 118.79 ms, throughput 137924.75 tokens/s
step 86: loss 5.6238, step_time 118.93 ms, throughput 137767.16 tokens/s
step 87: loss 5.5357, step_time 119.34 ms, throughput 137283.85 tokens/s
step 88: loss 5.6148, step_time 119.22 ms, throughput 137431.33 tokens/s
step 89: loss 5.5467, step_time 119.18 ms, throughput 137467.15 tokens/s
step 90: loss 5.6507, step_time 118.98 ms, throughput 137704.34 tokens/s
step 91: loss 5.5355, step_time 119.24 ms, throughput 137407.02 tokens/s
step 92: loss 5.4772, step_time 117.75 ms, throughput 139146.94 tokens/s
step 93: loss 5.5019, step_time 119.29 ms, throughput 137341.94 tokens/s
step 94: loss 5.5080, step_time 119.23 ms, throughput 137417.12 tokens/s
step 95: loss 5.5305, step_time 118.70 ms, throughput 138025.61 tokens/s
step 96: loss 5.5199, step_time 119.23 ms, throughput 137411.88 tokens/s
step 97: loss 5.5152, step_time 119.56 ms, throughput 137035.80 tokens/s
step 98: loss 5.4849, step_time 119.31 ms, throughput 137323.73 tokens/s
step 99: loss 5.3603, step_time 118.49 ms, throughput 138270.44 tokens/s
step 100: loss 5.4908, step_time 118.74 ms, throughput 137986.27 tokens/s
step 101: loss 5.4015, step_time 119.75 ms, throughput 136817.21 tokens/s
step 102: loss 5.3644, step_time 118.88 ms, throughput 137814.37 tokens/s
step 103: loss 5.4414, step_time 119.26 ms, throughput 137375.16 tokens/s
step 104: loss 5.3248, step_time 119.83 ms, throughput 136731.62 tokens/s
step 105: loss 5.3278, step_time 119.73 ms, throughput 136837.34 tokens/s
step 106: loss 5.3298, step_time 119.71 ms, throughput 136858.45 tokens/s
step 107: loss 5.3793, step_time 118.69 ms, throughput 138035.71 tokens/s
step 108: loss 5.2601, step_time 120.35 ms, throughput 136132.91 tokens/s
step 109: loss 5.3444, step_time 120.56 ms, throughput 135899.88 tokens/s
step 110: loss 5.3592, step_time 119.19 ms, throughput 137460.69 tokens/s
step 111: loss 5.3076, step_time 119.94 ms, throughput 136605.13 tokens/s
step 112: loss 5.2923, step_time 119.66 ms, throughput 136924.93 tokens/s
step 113: loss 5.2162, step_time 119.90 ms, throughput 136642.59 tokens/s
step 114: loss 5.2340, step_time 118.94 ms, throughput 137749.33 tokens/s
step 115: loss 5.2419, step_time 120.49 ms, throughput 135975.38 tokens/s
step 116: loss 5.2705, step_time 119.79 ms, throughput 136767.86 tokens/s
step 117: loss 5.3230, step_time 119.18 ms, throughput 137469.92 tokens/s
step 118: loss 5.2059, step_time 119.65 ms, throughput 136937.78 tokens/s
step 119: loss 5.2493, step_time 118.87 ms, throughput 137834.23 tokens/s
step 120: loss 5.1682, step_time 119.49 ms, throughput 137114.98 tokens/s
step 121: loss 5.1140, step_time 118.95 ms, throughput 137736.03 tokens/s
step 122: loss 5.0408, step_time 119.41 ms, throughput 137211.03 tokens/s
